Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,32,156,0.000000,24,184,0.000000,52,89
Sample02,0.000000,23,102,0.000000,23,182,0.000000,51,76
Sample03,0.000000,22,96,0.000000,23,182,0.000000,51,88
Sample04,0.000000,34,168,0.000000,24,184,0.000000,48,93
Sample05,0.000000,31,150,0.000000,22,180,0.000000,60,101
Sample06,0.000000,36,180,0.000000,22,180,0.000000,49,86
Sample07,0.000000,30,144,0.000000,24,184,0.000000,51,88
Sample08,0.000000,32,156,0.000000,22,180,0.000000,49,94
Sample09,0.000000,25,114,0.000000,21,178,0.000000,54,95
Sample10,0.000000,23,102,0.000000,24,184,0.000000,59,100
